X,Y,File
1.22,0.07242378,-avg_lam_0-10_six.txt
1.23,0.07239994,-avg_lam_0-10_six.txt
1.24,0.072376184,-avg_lam_0-10_six.txt
1.25,0.07235253,-avg_lam_0-10_six.txt
1.26,0.07232896,-avg_lam_0-10_six.txt
1.27,0.072305486,-avg_lam_0-10_six.txt
1.28,0.0722821,-avg_lam_0-10_six.txt
1.29,0.0722588,-avg_lam_0-10_six.txt
1.3,0.07223559,-avg_lam_0-10_six.txt
1.31,0.07221247,-avg_lam_0-10_six.txt
1.32,0.072189435,-avg_lam_0-10_six.txt
1.33,0.07216649,-avg_lam_0-10_six.txt
1.34,0.07214362,-avg_lam_0-10_six.txt
1.35,0.072120845,-avg_lam_0-10_six.txt
1.36,0.07209814,-avg_lam_0-10_six.txt
1.37,0.07207553,-avg_lam_0-10_six.txt
1.38,0.07205299,-avg_lam_0-10_six.txt
1.39,0.07203054,-avg_lam_0-10_six.txt
1.4,0.072008155,-avg_lam_0-10_six.txt
1.41,0.071985856,-avg_lam_0-10_six.txt
1.42,0.07196364,-avg_lam_0-10_six.txt
1.43,0.071941495,-avg_lam_0-10_six.txt
1.44,0.07191943,-avg_lam_0-10_six.txt
1.45,0.07189744,-avg_lam_0-10_six.txt
1.46,0.07187552,-avg_lam_0-10_six.txt
1.47,0.07185368,-avg_lam_0-10_six.txt
1.48,0.07183191,-avg_lam_0-10_six.txt
1.49,0.07181022,-avg_lam_0-10_six.txt
1.5,0.0717886,-avg_lam_0-10_six.txt
1.51,0.071767054,-avg_lam_0-10_six.txt
1.52,0.07174558,-avg_lam_0-10_six.txt
1.53,0.07172417,-avg_lam_0-10_six.txt
1.54,0.07170283,-avg_lam_0-10_six.txt
1.55,0.07168156,-avg_lam_0-10_six.txt
1.56,0.07166036,-avg_lam_0-10_six.txt
1.57,0.071639225,-avg_lam_0-10_six.txt
1.58,0.07161816,-avg_lam_0-10_six.txt
1.59,0.07159717,-avg_lam_0-10_six.txt
1.6,0.07157623,-avg_lam_0-10_six.txt
1.61,0.07155537,-avg_lam_0-10_six.txt
1.62,0.07153457,-avg_lam_0-10_six.txt
1.63,0.07151383,-avg_lam_0-10_six.txt
1.64,0.071493156,-avg_lam_0-10_six.txt
1.65,0.07147255,-avg_lam_0-10_six.txt
1.66,0.07145201,-avg_lam_0-10_six.txt
1.67,0.071431525,-avg_lam_0-10_six.txt
1.68,0.0714111,-avg_lam_0-10_six.txt
1.69,0.07139075,-avg_lam_0-10_six.txt
1.7,0.071370445,-avg_lam_0-10_six.txt
1.71,0.07135021,-avg_lam_0-10_six.txt
1.72,0.071330026,-avg_lam_0-10_six.txt
1.73,0.07130991,-avg_lam_0-10_six.txt
1.74,0.071289845,-avg_lam_0-10_six.txt
1.75,0.07126985,-avg_lam_0-10_six.txt
1.76,0.0712499,-avg_lam_0-10_six.txt
1.77,0.07123002,-avg_lam_0-10_six.txt
1.78,0.07121019,-avg_lam_0-10_six.txt
1.79,0.07119042,-avg_lam_0-10_six.txt
1.8,0.0711707,-avg_lam_0-10_six.txt
1.81,0.07115104,-avg_lam_0-10_six.txt
1.82,0.07113144,-avg_lam_0-10_six.txt
1.83,0.07111189,-avg_lam_0-10_six.txt
1.84,0.0710924,-avg_lam_0-10_six.txt
1.85,0.07107295,-avg_lam_0-10_six.txt
1.86,0.071053565,-avg_lam_0-10_six.txt
1.87,0.07103423,-avg_lam_0-10_six.txt
1.88,0.07101495,-avg_lam_0-10_six.txt
1.89,0.07099572,-avg_lam_0-10_six.txt
1.9,0.07097655,-avg_lam_0-10_six.txt
1.91,0.07095742,-avg_lam_0-10_six.txt
1.92,0.07093835,-avg_lam_0-10_six.txt
1.93,0.07091932,-avg_lam_0-10_six.txt
1.94,0.07090035,-avg_lam_0-10_six.txt
1.95,0.070881434,-avg_lam_0-10_six.txt
1.96,0.07086256,-avg_lam_0-10_six.txt
1.97,0.07084374,-avg_lam_0-10_six.txt
1.98,0.070824966,-avg_lam_0-10_six.txt
1.99,0.07080624,-avg_lam_0-10_six.txt
2.0,0.070787564,-avg_lam_0-10_six.txt
2.01,0.07076894,-avg_lam_0-10_six.txt
2.02,0.070750356,-avg_lam_0-10_six.txt
2.03,0.070731826,-avg_lam_0-10_six.txt
2.04,0.07071334,-avg_lam_0-10_six.txt
2.05,0.0706949,-avg_lam_0-10_six.txt
2.06,0.07067651,-avg_lam_0-10_six.txt
2.07,0.07065816,-avg_lam_0-10_six.txt
2.08,0.07063986,-avg_lam_0-10_six.txt
2.09,0.07062161,-avg_lam_0-10_six.txt
2.1,0.0706034,-avg_lam_0-10_six.txt
2.11,0.07058524,-avg_lam_0-10_six.txt
2.12,0.07056712,-avg_lam_0-10_six.txt
2.13,0.07054905,-avg_lam_0-10_six.txt
2.14,0.07053102,-avg_lam_0-10_six.txt
2.15,0.07051303,-avg_lam_0-10_six.txt
2.16,0.070495084,-avg_lam_0-10_six.txt
2.17,0.07047719,-avg_lam_0-10_six.txt
2.18,0.07045933,-avg_lam_0-10_six.txt
2.19,0.070441514,-avg_lam_0-10_six.txt
2.2,0.070423745,-avg_lam_0-10_six.txt
2.21,0.07040601,-avg_lam_0-10_six.txt
2.22,0.07038833,-avg_lam_0-10_six.txt
2.23,0.07037068,-avg_lam_0-10_six.txt
2.24,0.07035308,-avg_lam_0-10_six.txt
2.25,0.070335515,-avg_lam_0-10_six.txt
2.26,0.070318,-avg_lam_0-10_six.txt
2.27,0.07030051,-avg_lam_0-10_six.txt
2.28,0.07028308,-avg_lam_0-10_six.txt
2.29,0.07026567,-avg_lam_0-10_six.txt
2.3,0.07024831,-avg_lam_0-10_six.txt
2.31,0.07023099,-avg_lam_0-10_six.txt
2.32,0.07021371,-avg_lam_0-10_six.txt
2.33,0.07019647,-avg_lam_0-10_six.txt
2.34,0.07017927,-avg_lam_0-10_six.txt
2.35,0.0701621,-avg_lam_0-10_six.txt
2.36,0.07014497,-avg_lam_0-10_six.txt
2.37,0.07012789,-avg_lam_0-10_six.txt
2.38,0.07011084,-avg_lam_0-10_six.txt
2.39,0.07009383,-avg_lam_0-10_six.txt
2.4,0.07007686,-avg_lam_0-10_six.txt
2.41,0.07005992,-avg_lam_0-10_six.txt
2.42,0.07004302,-avg_lam_0-10_six.txt
2.43,0.07002616,-avg_lam_0-10_six.txt
2.44,0.070009336,-avg_lam_0-10_six.txt
2.45,0.06999255,-avg_lam_0-10_six.txt
2.46,0.0699758,-avg_lam_0-10_six.txt
2.47,0.06995908,-avg_lam_0-10_six.txt
2.48,0.06994241,-avg_lam_0-10_six.txt
2.49,0.06992576,-avg_lam_0-10_six.txt
2.5,0.069909155,-avg_lam_0-10_six.txt
2.51,0.06989258,-avg_lam_0-10_six.txt
2.52,0.069876045,-avg_lam_0-10_six.txt
2.53,0.06985954,-avg_lam_0-10_six.txt
2.54,0.069843076,-avg_lam_0-10_six.txt
2.55,0.06982665,-avg_lam_0-10_six.txt
2.56,0.06981025,-avg_lam_0-10_six.txt
2.57,0.06979388,-avg_lam_0-10_six.txt
2.58,0.069777556,-avg_lam_0-10_six.txt
2.59,0.06976126,-avg_lam_0-10_six.txt
2.6,0.069745,-avg_lam_0-10_six.txt
2.61,0.06972877,-avg_lam_0-10_six.txt
2.62,0.06971258,-avg_lam_0-10_six.txt
2.63,0.06969642,-avg_lam_0-10_six.txt
2.64,0.06968029,-avg_lam_0-10_six.txt
2.65,0.069664195,-avg_lam_0-10_six.txt
2.66,0.06964813,-avg_lam_0-10_six.txt
2.67,0.069632106,-avg_lam_0-10_six.txt
2.68,0.06961611,-avg_lam_0-10_six.txt
2.69,0.06960014,-avg_lam_0-10_six.txt
2.7,0.06958421,-avg_lam_0-10_six.txt
2.71,0.06956831,-avg_lam_0-10_six.txt
2.72,0.069552444,-avg_lam_0-10_six.txt
2.73,0.069536604,-avg_lam_0-10_six.txt
2.74,0.069520794,-avg_lam_0-10_six.txt
2.75,0.06950502,-avg_lam_0-10_six.txt
2.76,0.06948928,-avg_lam_0-10_six.txt
2.77,0.069473565,-avg_lam_0-10_six.txt
2.78,0.06945788,-avg_lam_0-10_six.txt
2.79,0.06944223,-avg_lam_0-10_six.txt
2.8,0.06942661,-avg_lam_0-10_six.txt
2.81,0.06941102,-avg_lam_0-10_six.txt
2.82,0.06939545,-avg_lam_0-10_six.txt
2.83,0.069379926,-avg_lam_0-10_six.txt
2.84,0.06936442,-avg_lam_0-10_six.txt
2.85,0.069348946,-avg_lam_0-10_six.txt
2.86,0.06933351,-avg_lam_0-10_six.txt
2.87,0.06931809,-avg_lam_0-10_six.txt
2.88,0.06930271,-avg_lam_0-10_six.txt
2.89,0.06928736,-avg_lam_0-10_six.txt
2.9,0.069272034,-avg_lam_0-10_six.txt
2.91,0.06925674,-avg_lam_0-10_six.txt
2.92,0.06924147,-avg_lam_0-10_six.txt
2.93,0.069226235,-avg_lam_0-10_six.txt
2.94,0.06921103,-avg_lam_0-10_six.txt
2.95,0.069195844,-avg_lam_0-10_six.txt
2.96,0.0691807,-avg_lam_0-10_six.txt
2.97,0.06916557,-avg_lam_0-10_six.txt
2.98,0.06915048,-avg_lam_0-10_six.txt
2.99,0.069135405,-avg_lam_0-10_six.txt
3.0,0.06912037,-avg_lam_0-10_six.txt
3.01,0.06910536,-avg_lam_0-10_six.txt
3.02,0.06909037,-avg_lam_0-10_six.txt
3.03,0.06907541,-avg_lam_0-10_six.txt
3.04,0.06906048,-avg_lam_0-10_six.txt
3.05,0.06904557,-avg_lam_0-10_six.txt
3.06,0.0690307,-avg_lam_0-10_six.txt
3.07,0.069015846,-avg_lam_0-10_six.txt
3.08,0.06900103,-avg_lam_0-10_six.txt
3.09,0.06898623,-avg_lam_0-10_six.txt
3.1,0.068971455,-avg_lam_0-10_six.txt
3.11,0.06895672,-avg_lam_0-10_six.txt
3.12,0.068941996,-avg_lam_0-10_six.txt
3.13,0.0689273,-avg_lam_0-10_six.txt
3.14,0.06891264,-avg_lam_0-10_six.txt
3.15,0.068898,-avg_lam_0-10_six.txt
3.16,0.06888338,-avg_lam_0-10_six.txt
3.17,0.06886879,-avg_lam_0-10_six.txt
3.18,0.068854235,-avg_lam_0-10_six.txt
3.19,0.0688397,-avg_lam_0-10_six.txt
3.2,0.068825185,-avg_lam_0-10_six.txt
3.21,0.0688107,-avg_lam_0-10_six.txt
3.22,0.06879624,-avg_lam_0-10_six.txt
3.23,0.0687818,-avg_lam_0-10_six.txt
3.24,0.06876739,-avg_lam_0-10_six.txt
3.25,0.068753004,-avg_lam_0-10_six.txt
3.26,0.06873865,-avg_lam_0-10_six.txt
3.27,0.06872431,-avg_lam_0-10_six.txt
3.28,0.06871,-avg_lam_0-10_six.txt
3.29,0.06869571,-avg_lam_0-10_six.txt
3.3,0.06868145,-avg_lam_0-10_six.txt
3.31,0.06866721,-avg_lam_0-10_six.txt
3.32,0.068652995,-avg_lam_0-10_six.txt
