V66	2.05032e-19	1.3122e-19
Cr66	2.40981e-14	1.54228e-14
Cr67	0	0
Cr68	0	0
Cr69	2.10819e-18	1.34924e-18
Cr70	0	0
Mn66	7.19949e-12	4.60767e-12
Mn67	5.37962e-12	3.44296e-12
Mn68	6.65953e-13	4.2621e-13
Mn69	8.02922e-14	5.1387e-14
Mn70	0	0
Mn71	0	0
Mn72	6.08289e-18	3.89305e-18
Mn73	6.41071e-19	4.10286e-19
Fe66	3.75973e-10	2.40623e-10
Fe67	6.86951e-10	4.39649e-10
Fe68	3.91972e-10	2.50862e-10
Fe69	1.21991e-10	7.80745e-11
Fe70	3.23977e-11	2.07345e-11
Fe71	4.91965e-12	3.14858e-12
Fe72	7.14943e-13	4.57564e-13
Fe73	5.53954e-14	3.54531e-14
Fe74	0	0
Fe75	1.00027e-16	6.40174e-17
Fe76	0	0
Co66	2.8098e-10	1.79827e-10
Co67	1.99986e-9	1.27991e-9
Co68	2.46983e-9	1.58069e-9
Co69	3.24977e-9	2.07985e-9
Co70	2.08985e-9	1.33751e-9
Co71	1.4799e-9	9.47133e-10
Co72	5.79959e-10	3.71174e-10
Co73	2.20984e-10	1.4143e-10
Co74	2.99979e-11	1.91986e-11
Co75	3.80963e-12	2.43816e-12
Co76	2.52982e-13	1.61909e-13
Co77	6.52643e-15	4.17691e-15
Co78	4.27929e-16	2.73875e-16
Ni66	5.77959e-11	3.69894e-11
Ni67	9.03936e-10	5.78519e-10
Ni68	4.1897e-9	2.68141e-9
Ni69	1.11992e-8	7.16749e-9
Ni70	2.7798e-8	1.77907e-8
Ni71	4.34969e-8	2.7838e-8
Ni72	7.59946e-8	4.86366e-8
Ni73	7.1295e-8	4.56288e-8
Ni74	4.57968e-8	2.93099e-8
Ni75	1.52989e-8	9.79131e-9
Ni76	5.01965e-9	3.21257e-9
Ni77	5.63954e-10	3.6093e-10
Ni78	5.0296e-11	3.21895e-11
Ni80	1.55989e-14	9.98329e-15
Ni82	0	0
Cu66	1.4299e-13	9.15135e-14
Cu67	9.67932e-12	6.19476e-12
Cu68	3.14978e-11	2.01586e-11
Cu68m	7.35948e-11	4.71007e-11
Cu69	1.13992e-9	7.29548e-10
Cu70	1.48989e-9	9.53533e-10
Cu70m	4.45968e-9	2.8542e-9
Cu71	3.47975e-8	2.22704e-8
Cu72	1.26991e-7	8.12743e-8
Cu73	4.70967e-7	3.01419e-7
Cu74	6.81952e-7	4.36449e-7
Cu75	1.00993e-6	6.46354e-7
Cu76	8.27941e-7	5.29883e-7
Cu77	4.44969e-7	2.8478e-7
Cu78	1.08992e-7	6.97551e-8
Cu79	0	0
Cu80	5.24963e-10	3.35976e-10
Cu81	0	0
Cu82	1.4799e-12	9.47133e-13
Cu83	7.3133e-15	4.68051e-15
Zn66	0	0
Zn67	0	0
Zn68	4.73967e-13	3.03339e-13
Zn69	2.47982e-12	1.58709e-12
Zn69m	1.05993e-11	6.78352e-12
Zn70	3.02979e-10	1.93906e-10
Zn71	7.70946e-10	4.93405e-10
Zn71m	3.28977e-9	2.10545e-9
Zn72	6.09957e-8	3.90372e-8
Zn73	4.62967e-7	2.96299e-7
Zn74	2.50982e-6	1.60629e-6
Zn75	7.66946e-6	4.90845e-6
Zn76	1.83787e-5	1.17624e-5
Zn77	3.14378e-5	2.01202e-5
Zn78	3.56475e-5	2.28144e-5
Zn79	1.63888e-5	7.37498e-6
Zn80	2.41983e-6	1.54869e-6
Zn81	0	0
Zn82	1.07992e-7	6.91151e-8
Zn83	6.31948e-10	4.04447e-10
Zn84	1.21991e-8	7.80745e-9
Zn85	1.54373e-13	9.87986e-14
Zn86	2.27984e-12	1.4591e-12
Ga66	0	0
Ga67	0	0
Ga68	0	0
Ga69	0	0
Ga70	1.4699e-13	9.40734e-14
Ga71	9.38934e-12	6.00918e-12
Ga72	1.92986e-10	1.23511e-10
Ga72m	1.92986e-10	1.23511e-10
Ga73	1.20991e-8	7.74345e-9
Ga74	7.29948e-8	4.67167e-8
Ga74m	7.29948e-8	4.67167e-8
Ga75	1.92986e-6	1.23511e-6
Ga76	1.04593e-5	6.69393e-6
Ga77	4.08171e-5	2.6123e-5
Ga78	1.02813e-4	6.58001e-5
Ga79	1.71078e-4	1.88186e-5
Ga80	1.17062e-4	1.87299e-5
Ga81	8.17742e-5	2.61678e-5
Ga82	6.26156e-5	4.0074e-5
Ga83	1.91986e-6	1.22871e-6
Ga84	1.10672e-4	7.08302e-5
Ga85	5.87943e-9	3.76284e-9
Ga86	3.27977e-7	2.09905e-7
Ga87	2.54114e-10	1.62633e-10
Ga88	4.42392e-12	2.83131e-12
Ge66	0	0
Ge67	0	0
Ge68	0	0
Ge69	0	0
Ge70	0	0
Ge71	0	0
Ge71m	0	0
Ge72	3.63974e-13	2.32944e-13
Ge73	2.37983e-11	1.52309e-11
Ge73m	5.5896e-12	3.57735e-12
Ge74	1.66988e-9	1.06872e-9
Ge75	6.80952e-9	4.35809e-9
Ge75m	4.55968e-8	2.91819e-8
Ge76	1.29991e-6	8.31941e-7
Ge77	5.95958e-6	3.81413e-6
Ge77m	8.90937e-7	5.702e-7
Ge78	6.94151e-5	4.44257e-5
Ge79	1.16247e-4	7.43979e-5
Ge79m	1.16247e-4	7.43979e-5
Ge80	0.001018	4.07271e-5
Ge81	0.001263	5.05036e-5
Ge82	0.001265	5.05876e-5
